('De Halve Maan Straffe Hendrik Bruges Tripel', 'Belgian Tripel', '11', '9.0', 'Belgium')
('De Halve Maan Straffe Hendrik Quad', 'Belgian Quad', '11', '11.0', 'Belgium')
('De Koninck Amber', 'Belgian Amber', '11', '5.0', 'Belgium')
('De Koninck Triple D''Anvers', 'Belgian Tripel', '11', '8.0', 'Belgium')
('De Proef Lozen Boer', 'Belgian Quad', '25', '10.0', 'Belgium')
('De Ranke XX Bitter', 'Belgian Strong Pale Ale', '11', '6.2', 'Belgium')
('Delirium Nocturnum', 'Belgian Strong Dark Ale', '11', '8.5', 'Belgium')
('Delirium Noel', 'Belgian Strong Dark Ale', '11', '10.0', 'Belgium')
('Delirium Tremens', 'Belgian Golden', '11', '8.5', 'Belgium')
('Dentergems Wit', 'White Wheat', '25', '5.0', 'Belgium')
('Duvel', 'Belgian Golden', '11', '8.5', 'Belgium')
('Duvel Tripel Hop', 'Belgian Strong Pale Ale', '11', '9.5', 'Belgium')
('Ename Tripel', 'Belgian Tripel', '12', '8.5', 'Belgium')
('Estaminet Premium Pils', 'Pilsner', '11', '5.2', 'Belgium')
('Fantôme Saison', 'Saison', '22', '8.0', 'Belgium')
('Floris Apple', 'Lambic', '12', '3.5', 'Belgium')
('Floris Framboise', 'Lambic', '11', '3.6', 'Belgium')
('Foret Organic', 'Saison', '11', '7.4', 'Belgium')
('Fruli Strawberry Ale', 'White Wheat', '8', '4.1', 'Belgium')
('Gaverhopke Extra', 'Belgian Strong Dark Ale', '11', '12.0', 'Belgium')
('Gouden Carolus Ambrio', 'Belgian Amber', '12', '8.0', 'Belgium')
('Gouden Carolus Classic', 'Belgian Strong Dark Ale', '25', '8.5', 'Belgium')
('Gouden Carolus Cuvee Van Keizer Blauw', 'Belgian Strong Dark Ale', '25', '11.0', 'Belgium')
('Gouden Carolus Cuvee Van Keizer Rood', 'Belgian Strong Pale Ale', '25', '10.0', 'Belgium')
('Gouden Carolus Grand Cru', 'Belgian Strong Dark Ale', '25', '11.0', 'Belgium')
('Gouden Carolus Hopsinjoor', 'Belgian Blonde', '25', '8.0', 'Belgium')
('Gouden Carolus Tripel', 'Belgian Tripel', '11', '9.0', 'Belgium')
('Green''s Amber', 'Amber / Red Ale', '16', '5.0', 'Belgium')
('Green''s Dubble', 'Belgian Dubbel', '16', '8.0', 'Belgium')
('Green''s Triple Blonde', 'Belgian Tripel', '16', '8.5', 'Belgium')
('Grimbergen Blonde', 'Belgian Blonde', '11', '6.7', 'Belgium')
('Grimbergen Dubbel', 'Belgian Dubbel', '11', '6.5', 'Belgium')
('Gulden Draak', 'Belgian Strong Dark Ale', '11', '10.5', 'Belgium')
('Gulden Draak 9000 Quad', 'Belgian Quad', '11', '10.5', 'Belgium')
('Hanssens Oude Gueuze', 'Lambic', '12', '6.0', 'Belgium')
('Hanssens Oude Kriek', 'Lambic', '12', '6.0', 'Belgium')
('Hoegaarden', 'White Wheat', '11', '4.9', 'Belgium')
('Kapittel Watou Abt Ale', 'Belgian Tripel', '11', '10.0', 'Belgium')
